Team,Rating Week 12,Rank Week 12
Sacramento State,-36.66118960519463,169.0
Florida A&M,-37.09514005017257,170.0
Charlotte,-37.19347553804628,171.0
Bryant,-37.28838119515457,172.0
North Texas,-40.0563083604442,173.0
Washington,-42.19543578050239,174.0
Yale,-44.20807446438198,175.0
Tulsa,-45.504522773347034,176.0
Old Dominion,-47.247047414108614,177.0
Texas,-55.75098781306271,178.0
Idaho State,-56.373945490002356,179.0
Bethune-Cookman,-62.00884210031778,180.0
Norfolk State,-63.73590787520277,181.0
Gardner-Webb,-64.18027513886939,182.0
Southern Utah,-65.38781594533032,183.0
Idaho,-66.46073436091514,184.0
Fordham,-66.83152330120458,185.0
Grambling State,-66.96502817180506,186.0
Murray State,-67.15013523406571,187.0
Wagner,-67.37393390241745,188.0
Nicholls State,-67.55795156541814,189.0
Texas Southern,-68.68642754759634,190.0
Portland State,-68.81914038749794,191.0
Louisiana-Monroe,-71.21135970249063,192.0
South Carolina State,-71.95527124999829,193.0
Buffalo,-74.7668624210027,194.0
California,-79.51428309686759,195.0
Hawaii,-89.34101478098422,196.0
Ohio,-94.56487119915323,197.0
Nebraska,-95.8868814524381,198.0
Northwestern,-99.67341333181804,199.0
Louisiana Tech,-99.92376024752201,200.0
Long Island,-100.85415097004827,201.0
Colorado,-104.56339617457613,202.0
Stanford,-106.84754986861326,203.0
Georgia Tech,-108.40745905981657,204.0
Georgia Southern,-110.27985360750007,205.0
Duke,-111.70907391910583,206.0
Navy,-111.8602269841544,207.0
Temple,-112.5515109608998,208.0
Texas State,-113.31910607759087,209.0
Colorado State,-113.72703938804186,210.0
Rice,-113.95488925256274,211.0
Bowling Green State,-116.24467367659842,212.0
New Mexico,-120.85970012824623,213.0
Kansas,-133.96705471361793,214.0
Nevada-Las Vegas,-137.8380575244544,215.0
South Florida,-145.71265457261563,216.0
Indiana,-146.57396352994863,217.0
Arkansas State,-157.50301369366176,218.0
Vanderbilt,-175.15406328904436,219.0
Akron,-182.79366889186844,220.0
Arizona,-208.4889500691019,221.0
Tulane,-210.5079491844827,222.0
New Mexico State,-214.6113619931483,223.0
Connecticut,-216.6490076569067,224.0
Southern Mississippi,-223.0778302316658,225.0
Massachusetts,-227.07653671487026,226.0
Florida International,-244.48601936079712,227.0
