Team,Rating,Rank
Notre Dame,205.90745758502146,1.0
Georgia,203.87822768985617,2.0
Michigan State,202.48525685195025,3.0
Brigham Young,202.18200160708298,4.0
Arkansas,200.6249531669053,5.0
Penn State,199.55302631013336,6.0
Baylor,198.67585339053798,7.0
Kentucky,198.49274817465647,8.0
Alabama,197.849939634781,9.0
Oklahoma,196.6888875978484,10.0
Michigan,196.52672411979927,11.0
Iowa,195.76441677187415,12.0
Oklahoma State,194.18540292027495,13.0
Oregon,193.68759726018862,14.0
Boston College,193.332866801327,15.0
Maryland,192.8380449054971,16.0
Wake Forest,192.35328807324208,17.0
Mississippi,165.42594986648163,18.0
Louisiana State,140.44121008984482,19.0
Oregon State,138.0041880165978,20.0
North Carolina State,135.2570600184039,21.0
Texas,135.0101035407063,22.0
Texas A&M,134.46600339083352,23.0
Louisville,134.45787107916294,24.0
Kansas State,134.38313946238438,25.0
Rutgers,133.9034576097048,26.0
Duke,133.31957535185222,27.0
UCLA,133.28027814476906,28.0
Syracuse,133.19101495859633,29.0
Purdue,132.94794957076303,30.0
Florida,132.18342495805328,31.0
Virginia Tech,130.11861337371903,32.0
Ohio State,128.98320690001685,33.0
Arizona State,127.82590361788607,34.0
Auburn,126.15722492204003,35.0
Pittsburgh,125.53955594343637,36.0
Texas Tech,122.95033278662794,37.0
Texas-San Antonio,109.6296704823121,38.0
Southern Methodist,108.34114974254679,39.0
San Diego State,102.4102765762247,40.0
Coastal Carolina,97.87602337828861,41.0
Texas Christian,97.0801433535564,42.0
Wyoming,94.29315117086571,43.0
Army,91.28936076595366,44.0
Stanford,80.64968443609291,45.0
West Virginia,78.79847074429345,46.0
Fresno State,73.6849256318082,47.0
Clemson,72.51481484601558,48.0
Cincinnati,72.12021490970349,49.0
Georgia Tech,72.11894882274237,50.0
Miami (FL),72.05527281220957,51.0
Washington,71.6541920158003,52.0
Utah,70.77046364382086,53.0
North Carolina,70.7573644704636,54.0
Missouri,70.47551364139281,55.0
Indiana,68.81227635743502,56.0
Southern California,68.25901963990148,57.0
Iowa State,68.19917230818162,58.0
Virginia,67.88638694940803,59.0
South Carolina,67.62332498257246,60.0
South Alabama,65.32210563262183,61.0
Mississippi State,65.20992792240799,62.0
Tennessee,65.07723496150052,63.0
Northwestern,63.63090435995589,64.0
Minnesota,62.284903773728495,65.0
Western Michigan,52.46163175177944,66.0
Wisconsin,43.7551098408575,67.0
Alabama-Birmingham,43.66213003583909,68.0
Nebraska,43.34780731019089,69.0
Memphis,40.52767747794052,70.0
Appalachian State,38.069163706539996,71.0
Liberty,36.469189179174116,72.0
Louisiana,36.3843957725083,73.0
Houston,34.900369667225974,74.0
Utah State,34.48512666482465,75.0
Eastern Michigan,33.916761928477754,76.0
Air Force,32.9028746212454,77.0
Texas-El Paso,31.31301136363733,78.0
Charlotte,28.061072069476673,79.0
Nevada,12.471159955948202,80.0
Louisiana-Monroe,10.044734713758729,81.0
Montana,9.669954630403417,82.5
East Tennessee State,9.669954630403417,82.5
Northern Arizona,6.049249439550877,84.0
Incarnate Word,4.648136232971922,85.0
Colorado,4.43757836514558,86.0
South Dakota State,4.208376710266336,88.0
California-Davis,4.208376710266336,88.0
Eastern Washington,4.208376710266336,88.0
Kansas,4.20039271781388,90.0
California,4.179522969441756,91.0
Vanderbilt,2.8356582674270427,92.0
Holy Cross,2.506837888622222,93.0
Central Florida,0.5501077369807099,94.0
Washington State,-4.364607927221108,95.0
Boise State,-12.439340147390197,96.0
Bowling Green State,-13.866041610824489,97.0
East Carolina,-17.125343481285505,98.0
Northern Illinois,-17.873380211446126,99.0
Temple,-19.31397500730889,100.0
Central Michigan,-20.563626494856592,101.0
Illinois,-23.322095534538345,102.0
Duquesne,-24.240270118561362,103.0
Buffalo,-24.628566155788434,104.0
Louisiana Tech,-24.956813962530404,105.0
Jacksonville State,-25.38871911565088,106.0
Florida Atlantic,-25.84133031241278,107.0
San Jose State,-26.511125058298784,108.0
Toledo,-29.587367466330775,109.0
New Mexico,-31.81631869645999,110.0
Bucknell,-32.0,114.5
Samford,-32.0,114.5
Tennessee State,-32.0,114.5
Prairie View A&M,-32.0,114.5
Wofford,-32.0,114.5
Rhode Island,-32.0,114.5
Arkansas-Pine Bluff,-32.0,114.5
Yale,-32.0,114.5
Troy,-33.15791695446207,119.0
Marshall,-39.707851081052056,120.0
Hawaii,-54.139111636228805,121.0
Villanova,-55.738434907626505,122.0
Florida State,-56.66203710091412,123.0
Stony Brook,-57.16916968587323,124.0
Delaware,-57.25500510332765,125.0
Arizona,-57.309338277934685,126.0
Chattanooga,-57.372926624056205,127.0
Youngstown State,-58.591337272431836,128.0
Mercer,-58.64871292482185,130.0
Southern Illinois,-58.64871292482185,130.0
Austin Peay,-58.64871292482185,130.0
Howard,-58.70613621162927,132.0
Stephen F. Austin,-58.910351914568594,133.0
Alabama State,-58.966262282972295,134.5
Western Carolina,-58.966262282972295,134.5
Richmond,-59.128711179965705,136.0
New Hampshire,-59.359059119754264,137.0
Northern Colorado,-60.33004536959659,141.5
Weber State,-60.33004536959659,141.5
Colgate,-60.33004536959659,141.5
Northern Iowa,-60.33004536959659,141.5
Missouri State,-60.33004536959659,141.5
Eastern Illinois,-60.33004536959659,141.5
William & Mary,-60.33004536959659,141.5
South Dakota,-60.33004536959659,141.5
Towson,-60.53335119559558,146.0
Southeast Missouri State,-60.59554146181183,147.5
Furman,-60.59554146181183,147.5
Albany,-60.604213908196826,149.0
Tennessee Tech,-60.713269570248855,150.0
McNeese State,-61.9141546840447,151.0
Eastern Kentucky,-62.04394051528179,152.0
Central Connecticut State,-62.09843366458374,153.0
Indiana State,-62.10359952913571,154.0
North Carolina A&T,-62.256999070090515,155.0
Kennesaw State,-62.37360140728056,156.0
Alcorn State,-62.44871043855477,157.0
Lamar,-63.62102892932606,158.0
Idaho State,-63.70207947113297,159.5
North Dakota,-63.70207947113297,159.5
Sacramento State,-63.88054930070768,161.0
North Carolina Central,-63.974927957852906,162.0
Western Kentucky,-64.67022092587263,163.0
Cal Poly,-65.6001193140712,164.0
Elon,-65.62977798668287,165.0
Western Illinois,-65.79162328973366,172.0
Abilene Christian,-65.79162328973366,172.0
Citadel,-65.79162328973366,172.0
Tennessee-Martin,-65.79162328973366,172.0
Houston Baptist,-65.79162328973366,172.0
St. Francis (PA),-65.79162328973366,172.0
Montana State,-65.79162328973366,172.0
Southern,-65.79162328973366,172.0
Central Arkansas,-65.79162328973366,172.0
Lafayette,-65.79162328973366,172.0
Northwestern State,-65.79162328973366,172.0
Campbell,-65.79162328973366,172.0
Monmouth,-65.79162328973366,172.0
Charleston Southern,-66.7944881624068,179.0
Maine,-66.83416334122538,180.0
Southeastern Louisiana,-67.2180974440419,184.0
Robert Morris,-67.2180974440419,184.0
Morgan State,-67.2180974440419,184.0
Virginia Military Institute,-67.2180974440419,184.0
Illinois State,-67.2180974440419,184.0
Hampton,-67.2180974440419,184.0
Jackson State,-67.2180974440419,184.0
Florida A&M,-68.62277155289206,188.0
Bryant,-69.03956840247133,189.0
Kent State,-73.63833640985406,190.0
South Florida,-74.31651125915371,191.0
Colorado State,-81.96406993691302,192.0
Georgia State,-82.06569008356885,193.0
Tulsa,-82.44151689924627,194.0
Tulane,-83.94803724521637,195.0
Rice,-85.13433000221173,196.0
Akron,-85.3165662542848,197.0
Middle Tennessee State,-87.95582442763063,198.0
Miami (OH),-88.0938393539291,199.0
Southern Mississippi,-88.91836114444214,200.0
Idaho,-89.03712090270075,201.0
Texas State,-90.53402626578651,202.0
Norfolk State,-91.16454991378987,203.0
Old Dominion,-92.22497276666269,204.0
Southern Utah,-92.49775950136294,205.0
Georgia Southern,-93.35476094041104,206.0
Ball State,-93.64731303054373,207.0
Fordham,-93.84108525919326,208.0
Bethune-Cookman,-94.47845766119393,209.0
Texas Southern,-95.82904362907757,210.0
Portland State,-95.86186074345983,211.0
Gardner-Webb,-95.93215934368467,212.0
Florida International,-96.35015079269874,213.0
Wagner,-98.91177236417451,214.0
Grambling State,-99.16587475226304,215.0
South Carolina State,-99.20016192865722,216.0
Nicholls State,-99.30856019665075,217.0
Murray State,-99.3635423360175,218.0
North Texas,-101.18126512029187,219.0
Arkansas State,-102.62186233952582,220.0
New Mexico State,-127.8845101999749,221.0
Long Island,-127.91919755950417,222.0
Navy,-129.3573404390265,223.0
Massachusetts,-145.83399243047464,224.0
Nevada-Las Vegas,-147.07110800315456,225.0
Ohio,-154.58908039709925,226.0
Connecticut,-177.15153076465964,227.0
