Team,Rating Week 16,Rank Week 16
Michigan,1427.2172295955136,1.0
Cincinnati,1427.1669959172289,2.0
Georgia,1415.0065736018594,3.0
Alabama,1409.3311753033856,4.0
Notre Dame,1387.3941765343752,5.0
Oklahoma State,1369.8177142131983,6.0
Ohio State,1368.96985621618,7.0
Pittsburgh,1366.1089592739113,8.0
Utah,1341.0510334717937,9.0
Houston,1332.546982597151,10.0
Baylor,1327.0501534416508,11.0
Louisiana,1317.1174048739595,12.0
Clemson,1303.0361613260923,13.0
Appalachian State,1302.6866667091476,14.0
Texas-San Antonio,1286.7717244562152,15.0
Mississippi,1271.4480843465274,16.0
Coastal Carolina,1262.022642649446,17.0
North Carolina State,1248.75741233518,18.0
Fresno State,1242.1968041219718,19.0
Oklahoma,1241.9241440496237,20.0
Wisconsin,1235.4293909504515,21.0
Texas A&M,1228.1444387942151,22.0
Wake Forest,1226.0162283697343,23.0
Air Force,1215.1185904973522,24.0
Kentucky,1200.1347742578187,25.0
Brigham Young,1198.9454409435868,26.0
San Diego State,1180.2377702132787,27.0
Western Kentucky,1177.3405041946833,28.0
Michigan State,1176.687816298493,29.0
Boise State,1161.9821430892396,30.0
Purdue,1158.2032518828455,31.0
Alabama-Birmingham,1155.6387319827957,32.0
Minnesota,1150.1612661026604,33.0
Arkansas,1146.127350798912,34.0
UCLA,1140.778198796964,35.0
Penn State,1134.4681481315054,36.0
Nevada,1131.7478353534748,37.0
Iowa State,1131.7395746719085,38.0
Utah State,1116.81764862303,39.0
Tennessee,1116.6739134686457,40.0
Central Michigan,1116.4093534789033,41.0
Army,1109.3077276094411,42.0
Arizona State,1107.8204988047135,43.0
Central Florida,1093.3480337941935,44.0
Mississippi State,1093.2035327778722,45.0
Iowa,1090.760671619694,46.0
Marshall,1073.9831271092455,47.0
Oregon,1073.8279314762544,48.0
Toledo,1070.1282557800882,49.0
Oregon State,1066.958205704463,50.0
Southern Methodist,1055.5527343188405,51.0
Washington State,1048.4509189239304,52.0
Miami (FL),1045.2287101543886,53.0
Kansas State,1023.5001085963187,54.0
Georgia State,984.770186690605,55.0
Western Michigan,966.0687764299237,56.0
East Carolina,966.0325285473654,57.0
Louisiana State,965.347670158267,58.0
Northern Illinois,962.1345616878963,59.0
East Tennessee State,937.8934733143287,60.0
Liberty,933.098168416394,61.0
Louisville,928.0033107723441,62.0
North Carolina,921.5271709985429,63.0
North Texas,882.9682313074348,64.0
Montana,873.3495493204847,65.0
Florida,872.4308610647784,66.0
Texas-El Paso,869.7043465361206,67.0
West Virginia,853.1781932509056,68.0
Auburn,851.4422083674932,69.0
Incarnate Word,848.8952634404283,70.0
South Dakota State,840.2665809617272,71.0
Kent State,833.2549426326153,72.0
California-Davis,824.8444616467314,73.0
Miami (OH),822.9678873829051,74.0
Virginia,814.3701195359372,75.0
Holy Cross,814.3596493701908,76.0
Eastern Washington,812.8797816312951,77.0
Northern Arizona,795.3703903714045,78.0
Rhode Island,788.642989548229,79.0
Old Dominion,780.6681192608373,80.0
Tulsa,778.5649791360889,81.0
Virginia Tech,760.9123308320007,82.0
Middle Tennessee State,757.633082568802,83.0
Ball State,737.0145723121518,84.0
Eastern Michigan,723.5985360397173,85.0
Boston College,718.6682286368892,86.0
Florida State,682.6452019354643,87.0
Texas Tech,650.0646253855485,88.0
Illinois,616.3048356512868,89.0
Maine,614.817121598676,90.0
Memphis,555.7612078491112,91.0
Maryland,535.8102173263139,92.0
Chattanooga,520.9124430321912,93.0
Alcorn State,446.50398842641204,94.0
Stephen F. Austin,430.409805134148,95.0
Southern Illinois,390.28725997716447,96.0
South Carolina,380.1176209575646,97.0
Villanova,351.2654563128732,98.0
South Dakota,339.4901367128293,99.0
Towson,328.06491170481894,100.0
Missouri,327.40423884718336,101.0
Missouri State,233.0386425851735,102.0
Hawaii,229.96618352810137,103.0
Richmond,185.07178990662703,104.0
Northern Iowa,176.60891894979713,105.0
Delaware,170.24164008855428,106.0
Youngstown State,134.52246786653168,107.0
Duquesne,126.11132464183255,108.0
Montana State,120.35340992411284,109.0
Tennessee State,118.08184813856504,110.0
North Dakota,115.1985687900722,111.0
Mercer,94.70257836641065,112.0
Austin Peay,84.79484238599164,113.0
Western Illinois,82.5415781811707,114.0
Houston Baptist,57.86952678219816,115.0
Wofford,54.98352125778658,116.0
Jacksonville State,48.75853110209541,117.0
Samford,40.53670461576505,118.0
Southeastern Louisiana,36.3044164365247,119.0
Prairie View A&M,33.79183464592928,120.0
Texas Christian,30.08782017911497,121.0
Stony Brook,26.547853743585723,122.0
Bucknell,6.085674252175429,123.0
Weber State,1.1322958110299,124.0
Southeast Missouri State,-0.9289788720739731,125.0
California,-19.530543018370764,126.0
Texas,-34.13691695073909,127.0
Central Arkansas,-58.37200374694771,128.0
Albany,-68.01928060759639,129.0
St. Francis (PA),-88.19075556152433,130.0
Lafayette,-106.38110071875259,131.0
Sacramento State,-108.83233392977817,132.0
North Carolina Central,-124.76785153810935,133.0
Syracuse,-217.87902699826287,134.0
New Hampshire,-218.55168354387175,135.0
Northwestern State,-219.92162717002407,136.0
Jackson State,-227.6817354889717,137.0
Citadel,-230.4426044162228,138.0
Northern Colorado,-244.8587674537372,139.0
North Carolina A&T,-248.80612343436044,140.0
Monmouth,-256.19875018429184,141.0
Alabama State,-259.2087540205558,142.0
Tennessee-Martin,-266.84460814763423,143.0
Yale,-291.5673344262673,144.0
Furman,-292.0973428977582,145.0
Kennesaw State,-305.6026807417152,146.0
Arkansas-Pine Bluff,-305.78035180567264,147.0
Howard,-323.49268053096586,148.0
Elon,-343.5281985347819,149.0
Wyoming,-347.2900967446645,150.0
Campbell,-388.0065502968014,151.0
McNeese State,-389.13618102522594,152.0
Indiana State,-393.6895235347426,153.0
Abilene Christian,-395.9644862067354,154.0
Cal Poly,-400.7169908156972,155.0
Eastern Illinois,-416.8472286025647,156.0
Florida A&M,-424.65915785098275,157.0
Lamar,-437.13768126794855,158.0
