Team,Rating Week 15,Rank Week 15
Michigan,1426.5166361841366,1.0
Cincinnati,1426.42787192764,2.0
Georgia,1414.4019363237267,3.0
Alabama,1408.6471375923968,4.0
Notre Dame,1386.8930997916248,5.0
Oklahoma State,1369.231057667853,6.0
Ohio State,1368.4113436013165,7.0
Pittsburgh,1365.6497914205884,8.0
Utah,1340.6215482669688,9.0
Houston,1332.1256129744863,10.0
Baylor,1326.719986152929,11.0
Louisiana,1316.9984216404107,12.0
Clemson,1302.5618238874006,13.0
Appalachian State,1302.1844579476942,14.0
Texas-San Antonio,1286.435146291798,15.0
Mississippi,1271.1578033153394,16.0
Coastal Carolina,1261.5887924909741,17.0
North Carolina State,1248.4469284269476,18.0
Fresno State,1241.7157640910168,19.0
Oklahoma,1241.5558444997762,20.0
Wisconsin,1235.0001250486193,21.0
Wake Forest,1225.626513151026,22.0
Texas A&M,1223.1758248286167,23.0
Air Force,1214.645393085462,24.0
Kentucky,1199.7406996060636,25.0
Brigham Young,1194.8779108797862,26.0
San Diego State,1179.999808921337,27.0
Michigan State,1176.4270841351029,28.0
Western Kentucky,1172.8997546667877,29.0
Boise State,1157.566787097014,30.0
Purdue,1154.5081503740828,31.0
Army,1154.3677502389178,32.0
Alabama-Birmingham,1151.5691196125415,33.0
Minnesota,1145.847240997198,34.0
Arkansas,1139.4409924298734,35.0
Penn State,1134.2113361134222,36.0
UCLA,1133.9914619983988,37.0
Iowa State,1131.4114167296868,38.0
Nevada,1127.6774712042406,39.0
Utah State,1116.4688236573606,40.0
Tennessee,1116.2406423116313,41.0
Central Michigan,1116.1418569908135,42.0
Arizona State,1104.9363688750755,43.0
Mississippi State,1092.9659812815878,44.0
Central Florida,1090.3876852017268,45.0
Iowa,1090.3350935905476,46.0
Oregon,1073.5088781458726,47.0
Marshall,1073.3824765734475,48.0
Toledo,1067.2363191516047,49.0
Oregon State,1066.6567846282815,50.0
Southern Methodist,1055.2780560503272,51.0
Washington State,1048.154458598456,52.0
Miami (FL),1046.0343129155706,53.0
Kansas State,1023.1438972226377,54.0
Georgia State,984.3622549690781,55.0
Western Michigan,965.5800127420803,56.0
East Carolina,965.5662196049991,57.0
Louisiana State,964.9860751162032,58.0
Northern Illinois,961.7648262807938,59.0
East Tennessee State,937.5265359335018,60.0
Liberty,932.7501337916166,61.0
Louisville,927.570098721303,62.0
North Carolina,921.0947785904277,63.0
North Texas,882.5151879828936,64.0
Montana,872.8569946126454,65.0
Florida,872.0121639228545,66.0
Texas-El Paso,869.1835145895103,67.0
West Virginia,852.7672950950848,68.0
Auburn,851.0655247275598,69.0
Incarnate Word,848.3742367005755,70.0
South Dakota State,839.8406015922174,71.0
Kent State,832.7666080439121,72.0
California-Davis,824.3478358984883,73.0
Miami (OH),822.5382620162856,74.0
Virginia,813.9424954312816,75.0
Holy Cross,813.8027339904529,76.0
Eastern Washington,812.2948447122446,77.0
Northern Arizona,794.7992196819944,78.0
Rhode Island,788.2382937044426,79.0
Old Dominion,780.1125880190037,80.0
Tulsa,778.0263322822065,81.0
Virginia Tech,760.4308867301307,82.0
Middle Tennessee State,757.2803356939135,83.0
Ball State,736.5106559941052,84.0
Eastern Michigan,722.9916614329719,85.0
Boston College,718.1980926549887,86.0
Florida State,681.9685944216873,87.0
Texas Tech,649.5782967578734,88.0
Illinois,615.6420324824088,89.0
Maine,614.5863854830078,90.0
Memphis,555.1981210423693,91.0
Maryland,535.590059840967,92.0
