Team,Rating Week 10,Rank Week 10
Georgia,169.47475461119393,1.0
Cincinnati,110.17863864682346,2.0
Ohio State,108.85421487203328,3.0
Alabama,104.25141535616471,4.0
Michigan,97.00600990234797,5.0
Pittsburgh,89.8297481924789,6.0
Texas-San Antonio,88.75498048216743,7.0
Coastal Carolina,86.22266082305053,8.0
Wake Forest,85.98111171901624,9.0
North Carolina State,82.6051972413658,10.0
Fresno State,82.06449709326073,11.0
Houston,80.10403544322438,12.0
Liberty,79.16740263057682,13.0
Marshall,78.23377972229504,14.0
Texas A&M,76.24290774501165,15.0
Oklahoma,75.9525817738924,16.0
Baylor,72.33104825117438,17.0
Air Force,72.14346094075266,18.0
Michigan State,70.55159070482826,19.0
Minnesota,68.05292550976952,20.0
Penn State,67.60139024511949,21.0
Wisconsin,67.01443449468483,22.0
Oklahoma State,65.6011416905418,23.0
Iowa State,64.78283292486627,24.0
Virginia,61.61865757997726,25.0
Auburn,61.132172845927194,26.0
Louisiana,60.321368897067586,27.0
Nebraska,59.7421189963227,28.0
Southern Methodist,59.646719599796945,29.0
San Diego State,58.57719058862987,30.0
Oregon,54.05704210363613,31.0
Central Florida,53.76060573364565,32.0
Tennessee,53.71630486937088,33.0
Alabama-Birmingham,50.269086253230554,34.0
Utah,49.93216227464379,35.0
Arkansas,49.52551160245973,36.0
Nevada,48.242897957751765,37.0
Arizona State,47.92165389440612,38.0
Boise State,47.913607665932766,39.0
Florida,47.38752530719337,40.0
Notre Dame,47.18042773160827,41.0
Mississippi,46.64641065694042,42.0
Texas-El Paso,45.97122323297549,43.0
Texas,43.207688518084936,44.0
Western Kentucky,42.97536706339837,45.0
Iowa,42.962083472597456,46.0
Syracuse,41.978524746628906,47.0
Purdue,41.44081270469326,48.0
Clemson,40.39577270337415,49.0
Oregon State,39.75381405408277,50.0
Kansas State,39.00849179811286,51.0
Kentucky,38.972358404439625,52.0
West Virginia,38.67594452264283,53.0
Toledo,36.83433445266255,54.0
Appalachian State,36.66379192722536,55.0
Mississippi State,36.35291008915766,56.0
Brigham Young,33.49590050603216,57.0
South Alabama,33.495862475570746,58.0
Louisville,33.24636422592649,59.0
Florida Atlantic,32.57556400025997,60.0
UCLA,32.45583140818558,61.0
East Tennessee State,26.711182278446294,62.0
Western Michigan,25.110692687953907,63.0
North Carolina,24.776081947046766,64.0
Miami (FL),23.485966345444417,65.0
Louisiana State,23.311049397639557,66.0
Colorado State,23.054544857754014,67.0
Washington State,22.55985475016336,68.0
Army,21.51503452110631,69.0
Washington,21.405047338896264,70.0
Southern California,20.779938759357275,71.0
Virginia Tech,20.13981980906962,72.0
Texas Tech,19.685082344318218,73.0
Florida State,18.766755049317354,74.0
California,18.72703832621817,75.0
Middle Tennessee State,17.071352047025876,76.0
Troy,16.638158501876234,77.0
Eastern Michigan,15.750460181001333,78.0
Boston College,13.852455384182793,79.0
East Carolina,12.820404690601116,80.0
Miami (OH),12.237120471123989,81.0
Montana,11.256636823900841,82.0
South Dakota State,11.13374984459469,83.0
Central Michigan,8.236135574230012,84.0
Rutgers,8.069163622445934,85.0
Texas Christian,7.812066398299999,86.0
Georgia Tech,7.724496098179154,87.0
Northern Illinois,7.0532390581976045,88.0
Maryland,5.465125486992536,89.0
Incarnate Word,4.834580312364281,90.0
Holy Cross,4.728901701058396,91.0
Buffalo,3.592023403639052,92.0
California-Davis,3.050481973424226,93.0
Northern Arizona,2.2238135980477103,94.0
Eastern Washington,2.2083767102663296,95.0
Southeastern Louisiana,0.08988532741471211,96.0
Rhode Island,0.0,99.5
Samford,0.0,99.5
Wofford,0.0,99.5
Prairie View A&M,0.0,99.5
Tennessee State,0.0,99.5
Bucknell,0.0,99.5
Memphis,-0.38631816068533453,103.0
Chattanooga,-0.5096356788681433,104.0
Charleston Southern,-0.7498922971521305,105.0
South Dakota,-1.470635903371883,106.0
Montana State,-1.6294611275715065,107.0
Stephen F. Austin,-1.8375172684547265,108.0
Missouri,-2.2964534284530096,109.0
Southern Illinois,-2.3841699843372917,110.0
Alcorn State,-2.5251553881690114,111.0
South Carolina,-2.9645381722640103,112.0
Sacramento State,-4.171114918054182,113.0
Missouri State,-4.264427477651262,114.0
Western Illinois,-5.273104771215146,115.0
Northern Iowa,-5.7888177215537,116.0
Utah State,-5.8496353543470825,117.0
Houston Baptist,-6.4003189419075825,118.0
Northwestern,-7.763881148707554,119.0
Georgia State,-8.06537593131392,120.0
Jackson State,-8.120780866490195,121.0
Stanford,-8.585393704184042,122.0
Yale,-8.610632773823898,123.0
Richmond,-9.059181284616024,124.0
Central Arkansas,-9.347178845289223,125.0
Ball State,-9.451654359582443,126.0
Villanova,-9.628358399000524,127.0
North Dakota,-9.953346761682145,128.0
Southeast Missouri State,-10.361850760491244,129.0
Towson,-10.667051451703124,130.0
Weber State,-11.932885518163875,131.0
St. Francis (PA),-12.253161751272128,132.0
Lafayette,-13.203387995616023,133.0
Albany,-13.221205717013449,134.0
North Carolina A&T,-13.65238603495644,135.0
Portland State,-13.676228389209461,136.0
Kennesaw State,-13.726405976702116,137.0
Nicholls State,-13.76889740471528,138.0
Florida A&M,-13.816047564599618,139.0
Youngstown State,-14.634990042925832,140.0
Bryant,-14.915764720725424,141.0
Tennessee-Martin,-15.011135484855616,142.0
Delaware,-15.240013719321686,143.0
Austin Peay,-15.544622454593684,144.0
Mercer,-15.95991277814744,145.0
Northwestern State,-16.291623289733668,146.0
Maine,-16.515389324118157,147.0
Monmouth,-17.075205379285904,148.0
Morgan State,-17.66602869074145,149.0
Kent State,-17.88913342722205,150.0
Citadel,-18.350446819145432,151.0
Indiana State,-18.527546742454923,152.0
North Carolina Central,-18.70816610562663,153.0
Elon,-19.63916396452598,154.0
Gardner-Webb,-20.108652258600227,155.0
McNeese State,-20.44429556054192,156.0
Northern Colorado,-20.56154499428098,157.0
Idaho State,-20.86794777012926,158.0
Furman,-22.028633288044034,159.0
Cal Poly,-22.114536830377485,160.0
Hawaii,-22.212453404233358,161.0
Bethune-Cookman,-22.351828777318254,162.0
Stony Brook,-22.994507256246745,163.0
Abilene Christian,-23.343862095703816,164.0
Campbell,-23.967061886224894,165.0
Virginia Military Institute,-24.04165272275484,166.0
Hampton,-24.749647856910325,167.0
Duquesne,-24.753577425588624,168.0
New Hampshire,-25.537300600341393,169.0
Eastern Kentucky,-25.77339571732252,170.0
Old Dominion,-25.888212422391874,171.0
Bowling Green State,-26.751863355886794,172.0
San Jose State,-26.90398572229662,173.0
Jacksonville State,-26.95326166028379,174.0
Arkansas-Pine Bluff,-27.06322000962391,175.0
Southern,-29.124956623067,176.0
Southern Utah,-30.614354184836106,177.0
Louisiana Tech,-30.772979418165793,178.0
Alabama State,-31.061931657144594,179.0
Tennessee Tech,-31.163124102437198,180.0
Tulsa,-31.49260864068706,181.0
William & Mary,-31.733262165998145,182.0
Eastern Illinois,-31.83048438822037,183.0
Illinois,-31.918828781484432,184.0
South Carolina State,-31.920088493398836,185.0
Colgate,-31.96806300457257,186.0
Howard,-32.06737798470446,187.0
Texas Southern,-32.16741283376679,188.0
Lamar,-32.26693187014214,189.0
Norfolk State,-32.276026265052025,190.0
Illinois State,-32.29506539610468,191.0
Western Carolina,-32.36316606682682,192.0
Robert Morris,-32.509682975583,193.0
Central Connecticut State,-33.77539953957057,194.0
Colorado,-33.90221512890269,195.0
Charlotte,-34.326041380940055,196.0
Tulane,-34.574547109907776,197.0
South Florida,-35.03789082222382,198.0
Murray State,-35.63260724999706,199.0
Louisiana-Monroe,-36.60508163591112,200.0
North Texas,-38.39629452799265,201.0
Fordham,-39.10658883116269,202.0
Wyoming,-42.60767782194861,203.0
Indiana,-45.34156063526495,204.0
Duke,-45.746011836115414,205.0
Ohio,-46.65977105474478,206.0
Navy,-46.6759755896536,207.0
Wagner,-49.53240999581691,208.0
Idaho,-50.442263559565376,209.0
Arkansas State,-51.884546947498514,210.0
Georgia Southern,-51.94434550679027,211.0
New Mexico,-54.689409522845565,212.0
Texas State,-56.074457364265285,213.0
Florida International,-57.49504035772563,214.0
New Mexico State,-60.40832625872924,215.0
Grambling State,-62.3773958652707,216.0
Nevada-Las Vegas,-63.050500590236204,217.0
Arizona,-65.378550058678,218.0
Akron,-68.22946867788738,219.0
Temple,-69.46654578625225,220.0
Long Island,-73.37925523407348,221.0
Rice,-73.66934094875175,222.0
Southern Mississippi,-78.9642106849891,223.0
Kansas,-89.77335990971638,224.0
Connecticut,-93.18840404523905,225.0
Vanderbilt,-100.84945118119114,226.0
Massachusetts,-109.45521719906691,227.0
