Team,Rating Week 9,Rank Week 9
Georgia,1462.3197844794536,1.0
Cincinnati,1432.682879183255,2.0
Texas-San Antonio,1428.0880498501276,3.0
Michigan,1419.2553061737153,4.0
Alabama,1409.8516670166707,5.0
Ohio State,1393.8898705963036,6.0
Pittsburgh,1390.017071591014,7.0
Michigan State,1352.2217983940309,8.0
Baylor,1350.412501358376,9.0
Wake Forest,1349.5758485995714,10.0
San Diego State,1334.4934383262735,11.0
Oklahoma,1332.6815961110974,12.0
Houston,1328.9628545109156,13.0
Coastal Carolina,1319.395852435701,14.0
Texas A&M,1315.7021150358057,15.0
Southern Methodist,1302.8293198120684,16.0
Fresno State,1291.3877843177388,17.0
Air Force,1279.6809534797303,18.0
Mississippi,1275.8872055153618,19.0
Virginia,1275.593292424919,20.0
Iowa,1275.5713433347776,21.0
Iowa State,1255.489222497247,22.0
Liberty,1252.197703595217,23.0
North Carolina State,1248.606791052378,24.0
Kentucky,1227.8539671303258,25.0
Oregon,1218.129765764784,26.0
Notre Dame,1217.3352634662083,27.0
Penn State,1216.7298421530843,28.0
Auburn,1215.0131478007866,29.0
Oklahoma State,1204.768447628635,30.0
Texas-El Paso,1198.6430867637675,31.0
Minnesota,1196.386572787277,32.0
Arizona State,1196.3527822404321,33.0
Oregon State,1164.9257054461718,34.0
Arkansas,1144.5117002338482,35.0
Wisconsin,1133.9696295361932,36.0
Alabama-Birmingham,1131.9137384676194,37.0
Louisiana,1127.0789635577162,38.0
Nevada,1115.333620324766,39.0
UCLA,1110.1692028877367,40.0
Florida,1099.2971217908148,41.0
Utah,1095.1138236495387,42.0
Texas,1092.8715012531177,43.0
Louisville,1074.730402325731,44.0
Clemson,1073.3357488331126,45.0
Brigham Young,1068.8297078614537,46.0
Appalachian State,1065.473124166518,47.0
Texas Tech,1048.4117760766924,48.0
Central Florida,1008.2619777469969,49.0
Purdue,1004.0828725135883,50.0
Tennessee,1000.6301140704709,51.0
Western Michigan,1000.4332284500086,52.0
Marshall,998.0546609030228,53.0
Florida Atlantic,995.9734568657178,54.0
Kansas State,980.386867841912,55.0
Mississippi State,979.5341645738823,56.0
East Tennessee State,951.1497957741253,57.0
Boston College,930.0426565649,58.0
Eastern Michigan,922.2564450045022,59.0
North Carolina,919.987026802211,60.0
Northern Illinois,919.8815299189283,61.0
