Team,Rating Week 9,Rank Week 9
New Hampshire,-25.537300600341393,171.0
Eastern Kentucky,-25.77339571732252,172.0
South Florida,-26.08312543626243,173.0
Tulsa,-26.308674305797183,174.0
Illinois,-26.327535290392717,175.0
Texas State,-26.652782969488293,176.0
Old Dominion,-26.86580723031652,177.0
Jacksonville State,-26.95326166028379,178.0
Duke,-27.016577988758208,179.0
Arkansas-Pine Bluff,-27.06322000962391,180.0
Louisiana-Monroe,-28.476128809308957,181.0
Southern,-29.124956623067,182.0
Colorado,-29.346241780877392,183.0
San Jose State,-29.35224653859712,184.0
Florida International,-29.42432910239217,185.0
Louisiana Tech,-29.795384610241147,186.0
Southern Utah,-30.614354184836106,187.0
Alabama State,-31.061931657144594,188.0
Tennessee Tech,-31.163124102437198,189.0
William & Mary,-31.733262165998145,190.0
Eastern Illinois,-31.83048438822037,191.0
South Carolina State,-31.920088493398836,192.0
Colgate,-31.96806300457257,193.0
Howard,-32.06737798470446,194.0
Texas Southern,-32.16741283376679,195.0
Lamar,-32.26693187014214,196.0
Norfolk State,-32.276026265052025,197.0
Illinois State,-32.29506539610468,198.0
Western Carolina,-32.36316606682682,199.0
Robert Morris,-32.509682975583,200.0
Central Connecticut State,-33.77539953957057,201.0
Bowling Green State,-34.36170254900277,202.0
Murray State,-35.63260724999706,203.0
Fordham,-39.10658883116269,204.0
Wyoming,-40.159417005648116,205.0
North Texas,-41.934963222890765,206.0
Arkansas State,-42.75218096088112,207.0
Georgia Southern,-45.694385636597076,208.0
Ohio,-46.65977105474478,209.0
Temple,-46.834316853778546,210.0
Indiana,-47.95504819827492,211.0
Wagner,-49.53240999581691,212.0
Idaho,-50.442263559565376,213.0
Navy,-51.85990992454347,214.0
Nevada-Las Vegas,-54.03882045088043,215.0
New Mexico,-54.689409522845565,216.0
New Mexico State,-60.40832625872924,217.0
Grambling State,-62.3773958652707,218.0
Southern Mississippi,-64.95511326751256,219.0
Kansas,-66.00169952298863,220.0
Arizona,-67.95180984603309,221.0
Akron,-68.22946867788738,222.0
Rice,-70.13067225385363,223.0
Long Island,-73.37925523407348,224.0
Connecticut,-93.18840404523905,225.0
Massachusetts,-99.47359883036285,226.0
Vanderbilt,-99.78248896328577,227.0
