Team,Rating Week 7,Rank Week 7
Georgia,144.21554530285866,1.0
Cincinnati,91.00252377700303,3.0
Ohio State,84.81250999863485,4.0
Iowa,83.89330171115284,5.0
Michigan,81.66334584473161,6.0
Houston,80.0594063730926,7.0
Penn State,78.47317356443912,8.0
Pittsburgh,74.2196881079189,11.0
Alabama,72.23689039478317,12.0
Nebraska,70.66908852053983,13.0
Tennessee,69.2126929243936,14.0
Arizona State,68.50288068485324,15.0
Florida,68.49046721289056,16.0
Michigan State,66.92663212792662,17.0
Baylor,65.87456997185245,18.0
Boston College,64.97578590130132,19.0
Wake Forest,64.21206906837008,20.0
Iowa State,61.12454570235512,21.0
Kentucky,56.30632191627416,22.0
Oklahoma,55.948659426175894,23.0
North Carolina State,52.057393226174206,26.0
Texas,51.92531170669575,27.0
Texas A&M,48.86764894035196,29.0
Auburn,46.43228004639566,30.0
Oregon State,45.57058319978899,33.0
Oregon,45.309692045522496,34.0
Mississippi,38.95937921687486,36.0
Texas Christian,38.00497234634221,38.0
Minnesota,37.98298129893682,39.0
UCLA,37.9720151341103,40.0
Virginia,37.55658933778502,41.0
Notre Dame,35.548193217224096,42.0
Clemson,35.25207248167795,43.0
Oklahoma State,34.55891604971301,44.0
Utah,34.452632295291636,45.0
Virginia Tech,33.8227735055181,46.0
Southern California,32.716677630742964,47.0
Louisville,32.33380007477417,48.0
Arkansas,31.239197217107964,50.0
Kansas State,31.220874774487896,51.0
Brigham Young,29.994056458702104,52.0
Purdue,28.740641771267207,56.0
Wisconsin,28.064415209505107,57.0
North Carolina,27.810383413375977,58.0
Louisiana State,27.750390547907006,59.0
Mississippi State,25.954739476422944,63.0
Syracuse,25.594678428840936,64.0
Central Florida,25.195173815908696,65.0
West Virginia,24.40725054390738,66.0
Texas Tech,19.400113290250964,67.0
Washington,18.110018962585468,69.0
Rutgers,18.012176540524543,70.0
Maryland,17.722345495508833,71.0
South Carolina,16.008236024980775,72.0
Georgia Tech,15.413370517188163,74.0
Washington State,13.598649917477776,77.0
Miami (FL),13.149176878162463,78.0
Missouri,10.315477143992865,82.0
Northwestern,9.878384000390625,83.0
Duke,3.6746902845942135,92.0
Stanford,-1.538866640151328,112.0
Florida State,-2.148287551800543,115.0
California,-13.088549455851329,135.0
Indiana,-24.87888443411732,179.0
Arizona,-34.26548598546092,205.0
Illinois,-34.90854828617043,206.0
Colorado,-35.987058139539805,208.0
Kansas,-49.82926491712172,218.0
Vanderbilt,-82.14960827126752,226.0
