Team,Rating Week 13,Rank Week 13
Georgia,330.3569154184246,1.0
Cincinnati,307.4545572253071,2.0
Ohio State,281.8257911158249,4.0
Oklahoma State,264.3340013218926,5.0
Notre Dame,262.3499664910945,7.0
Michigan,261.6524881452122,8.0
Alabama,260.67492182913736,9.0
Oklahoma,259.0325161097958,10.0
Houston,256.8592575536837,11.0
Baylor,222.7822575523465,13.0
Mississippi,221.1285477096785,14.0
Pittsburgh,208.31092565093428,15.0
Brigham Young,207.18782335536477,17.0
Iowa,205.22565318949032,18.0
Michigan State,202.87201479096632,19.0
Oregon,192.94392013958895,20.0
Wake Forest,192.19071212864793,21.0
Wisconsin,180.8775490500519,22.0
Utah,176.74167190408437,23.0
Clemson,174.41908812175177,24.0
Texas A&M,167.03920032132774,25.0
North Carolina State,154.23849231066526,28.0
Kentucky,126.88461008837365,33.0
Mississippi State,119.45340947315785,35.0
Purdue,109.33692769132985,36.0
Arkansas,105.31945505525356,39.0
Kansas State,97.92403082161123,42.0
Penn State,95.2889676470367,43.0
UCLA,88.98019259636712,44.0
Minnesota,86.33348890494747,46.0
Oregon State,84.51390520511376,47.0
Central Florida,83.69499292977719,48.0
Arizona State,82.33552995741695,49.0
Tennessee,62.42568366946255,54.0
North Carolina,57.02706489923192,57.0
Miami (FL),55.54912717627101,58.0
Missouri,54.738083519178474,59.0
Washington State,50.85251899300796,60.0
Louisville,48.34709090888644,61.0
Iowa State,43.90307710716087,63.0
Virginia,43.82447760712954,64.0
South Carolina,43.222421401717874,65.0
Auburn,37.63252919557617,66.0
Texas Tech,36.171340843333994,73.0
Florida State,17.328301351285283,80.0
Boston College,16.8161814561998,81.0
West Virginia,8.61758224354574,82.0
Texas Christian,0.6174933675554044,86.0
Louisiana State,0.16939956326645245,87.0
Syracuse,-20.395144191096357,94.0
Florida,-20.767012917518773,95.0
Rutgers,-21.880499849966192,96.0
Maryland,-25.5191221186405,97.0
Virginia Tech,-31.92792142676899,120.0
California,-44.68217528614579,172.0
Illinois,-48.55347437977177,173.0
Southern California,-63.618207158052684,179.0
Colorado,-67.63280010226669,189.0
Washington,-79.12603185281183,194.0
Texas,-87.92676400021625,195.0
Nebraska,-117.53852006919676,199.0
Northwestern,-125.66221557675401,200.0
Georgia Tech,-126.0823573114688,202.0
Duke,-141.39265192333994,207.0
Stanford,-141.67965767933504,208.0
Kansas,-162.49149456910453,215.0
Indiana,-172.56784366649185,216.0
Vanderbilt,-191.8398587138468,221.0
Arizona,-230.93233397054593,223.0
