Team,Rating,Rank
Northwestern State,-806.8683318088783,170.0
Kent State,-822.9313026553616,171.0
Tulsa,-831.6304877321392,172.0
Monmouth,-844.4361934274399,173.0
Maine,-852.385839273805,174.0
Middle Tennessee State,-862.087668354942,175.0
Florida A&M,-869.4572099564913,176.0
Cal Poly,-870.2092187803167,177.0
Morgan State,-921.114807616718,178.0
William & Mary,-939.8315406222829,179.0
Howard,-942.2375398992903,180.0
Eastern Illinois,-946.8051221829243,181.0
Miami (OH),-948.9133322122042,182.0
Bryant,-950.6402703123932,183.0
Colgate,-954.2732915048053,184.0
Tennessee Tech,-955.1384294260074,185.0
Abilene Christian,-958.3740215885616,186.0
South Florida,-996.7728061941623,187.0
Georgia State,-1046.1252428821701,188.0
Campbell,-1056.9206480131984,189.0
Virginia Military Institute,-1092.6916750733,190.0
Western Carolina,-1132.7824348715412,191.0
Old Dominion,-1136.2085384179295,192.0
Southern Mississippi,-1142.4967658182782,193.0
Hampton,-1155.4452335213243,194.0
Texas State,-1210.8029389737665,195.0
Central Connecticut State,-1266.7126432585999,196.0
Lamar,-1357.7295849537693,197.0
Southern,-1386.4507502748447,198.0
Southern Utah,-1444.951846964995,199.0
Portland State,-1471.3264681208223,200.0
Florida International,-1500.9068605461061,201.0
Norfolk State,-1512.2692783855148,202.0
Illinois State,-1523.6194510606895,203.0
Robert Morris,-1529.9977206868741,204.0
Bethune-Cookman,-1547.9309373600704,205.0
Gardner-Webb,-1640.589839877572,206.0
Akron,-1658.431485387587,207.0
Texas Southern,-1679.3483241985687,208.0
Ball State,-1781.1723632598917,209.0
Nicholls State,-1799.5278837719338,210.0
Fordham,-1835.029727131411,211.0
South Carolina State,-1896.2749241184265,212.0
Georgia Southern,-1935.5889411340133,213.0
Idaho,-1959.7142894959857,214.0
Arkansas State,-2027.064535808382,215.0
North Texas,-2035.5344148426989,216.0
Murray State,-2086.597704331971,217.0
Wagner,-2190.549512244669,218.0
Rice,-2254.2879900726525,219.0
New Mexico State,-2394.164206332968,220.0
Navy,-2449.1107200845627,221.0
Nevada-Las Vegas,-2532.049550658751,222.0
Grambling State,-2536.6065670921307,223.0
Massachusetts,-2615.731066430401,224.0
Ohio,-2669.4425999349423,225.0
Long Island,-2706.823084093978,226.0
Connecticut,-2944.010039108849,227.0
