Team,Rating,Rank
Kennesaw State,-62.37360140728056,178.0
Lamar,-63.62102892932606,179.0
North Dakota,-63.70207947113297,180.5
Idaho State,-63.70207947113297,180.5
North Carolina Central,-63.974927957852906,182.0
Murray State,-64.09578402089544,183.0
Cal Poly,-65.6001193140712,184.0
Northwestern State,-65.79162328973366,191.5
Montana State,-65.79162328973366,191.5
Monmouth,-65.79162328973366,191.5
Abilene Christian,-65.79162328973366,191.5
Southern,-65.79162328973366,191.5
Campbell,-65.79162328973366,191.5
Lafayette,-65.79162328973366,191.5
Central Arkansas,-65.79162328973366,191.5
St. Francis (PA),-65.79162328973366,191.5
Tennessee-Martin,-65.79162328973366,191.5
Wagner,-65.79162328973366,191.5
Houston Baptist,-65.79162328973366,191.5
Citadel,-65.79162328973366,191.5
Western Illinois,-65.79162328973366,191.5
Virginia Military Institute,-67.2180974440419,201.5
Robert Morris,-67.2180974440419,201.5
Southeastern Louisiana,-67.2180974440419,201.5
Morgan State,-67.2180974440419,201.5
Hampton,-67.2180974440419,201.5
Illinois State,-67.2180974440419,201.5
Grambling State,-67.49316211137779,205.0
Massachusetts,-88.24074935741345,206.5
South Florida,-88.24074935741345,206.5
Norfolk State,-91.16454991378987,208.0
Southern Utah,-92.49775950136294,209.0
Bowling Green State,-93.41181727392997,210.0
Tulsa,-93.46889152080122,211.0
Nevada-Las Vegas,-93.54440149160915,212.0
Long Island,-94.12166865933025,213.0
Miami (OH),-94.23905471096371,214.0
Bethune-Cookman,-94.47845766119393,215.0
East Carolina,-94.5891631628568,216.0
Portland State,-95.86186074345983,217.0
Gardner-Webb,-95.93215934368467,218.0
Georgia State,-96.42119153162224,219.0
Akron,-96.53842207986293,220.0
Rice,-96.59739104130774,221.0
Ohio,-98.77701317147805,222.0
Colorado State,-99.16678923945805,223.0
Nicholls State,-99.30856019665075,224.0
Navy,-100.89477913835546,225.0
Connecticut,-126.04650016087935,226.0
New Mexico State,-128.90668168192067,227.0
