Team,Rating Week 15,Rank Week 15
Cincinnati,364.16383276725946,1.0
Michigan,327.9248949194421,2.0
Alabama,323.9342859737974,3.0
Georgia,307.99127586113246,5.0
Baylor,285.0200603300218,6.0
Notre Dame,279.9130302761447,7.0
Pittsburgh,267.60322729818216,9.0
Oklahoma State,260.3262495480414,10.0
Mississippi,252.23233979420343,11.0
Ohio State,247.0185362571569,12.0
Houston,240.55697785466134,13.0
Utah,234.99087310868885,15.0
Michigan State,231.32240162769185,16.0
Brigham Young,230.25409909380238,17.0
Oklahoma,225.50752988532864,18.0
Clemson,204.06212304201193,19.0
Iowa,194.57553642979994,21.0
Wake Forest,185.3696133847127,24.0
Oregon,185.2204968159092,25.0
North Carolina State,183.19436825563122,26.0
Kentucky,159.14323378537847,29.0
Wisconsin,142.33646889557497,31.0
Arkansas,136.5772214464024,34.0
Purdue,129.8526319385987,35.0
Texas A&M,124.942702519947,36.0
Minnesota,124.8745690594244,37.0
UCLA,116.1724156940067,39.0
Central Florida,104.86127749136406,41.0
Arizona State,101.5669125029595,42.0
Mississippi State,88.34961738863291,46.0
Tennessee,84.11380719784455,48.0
Miami (FL),82.01372645561798,49.0
Washington State,80.55548794934393,50.0
Iowa State,75.52451920800952,51.0
Penn State,66.83858081031117,53.0
Oregon State,56.1046760074475,54.0
Kansas State,54.916057103584144,55.0
Louisiana State,42.26589736464719,60.0
West Virginia,36.31658987354249,65.0
North Carolina,28.07118895426597,74.0
Missouri,23.480317128029615,77.0
Louisville,16.08846721188162,79.0
Florida,14.942857294897177,80.0
South Carolina,13.579386481457718,81.0
Auburn,12.392613311601785,82.0
Texas Tech,11.466276063977013,83.0
Maryland,10.872275315398436,85.0
Virginia Tech,8.062279510090185,86.0
Virginia,3.834276670270363,87.0
Boston College,-10.677593512899314,94.0
Florida State,-18.381568861130674,97.0
Illinois,-18.610585496705397,98.0
Texas Christian,-31.003948733293246,107.0
California,-38.827195288199945,168.0
Texas,-44.91879028218917,171.0
Syracuse,-45.37257212530985,172.0
Rutgers,-58.27189728400515,175.0
Colorado,-89.74934878552511,192.0
Washington,-108.8290008091478,198.0
Southern California,-119.73168599207574,200.0
Nebraska,-138.35355522506825,203.0
Georgia Tech,-141.73616601486228,204.0
Northwestern,-155.60510445982038,207.0
Stanford,-159.24272146438523,208.0
Duke,-167.8572512026869,211.0
Kansas,-190.19050219910127,216.0
Indiana,-193.08354791376073,217.0
Vanderbilt,-213.5279822422288,221.0
Arizona,-250.16371651608847,224.0
