Team,Rating Week 10,Rank Week 10
Georgia,1457.315254772117,1.0
Cincinnati,1437.0923240977456,2.0
Ohio State,1424.3901932904357,3.0
Texas-San Antonio,1410.5317688545979,4.0
Wake Forest,1407.9255267076855,5.0
Alabama,1398.2153400731509,6.0
Michigan,1390.752292383414,7.0
Oklahoma,1380.351965726579,8.0
Houston,1370.5440578349314,9.0
Michigan State,1361.0590786155378,10.0
Baylor,1356.2530165931032,11.0
Coastal Carolina,1342.6478789545138,12.0
Fresno State,1342.3129626567681,13.0
Oklahoma State,1311.324327119664,14.0
Texas A&M,1302.0850683062658,15.0
Louisiana,1290.2129724224742,16.0
Liberty,1288.82179696431,17.0
Minnesota,1286.5858829847373,18.0
North Carolina State,1286.2631188497928,19.0
Pittsburgh,1281.7752755227036,20.0
Oregon,1268.6745310287836,21.0
San Diego State,1268.0310299928228,22.0
Auburn,1267.1289816988485,23.0
Southern Methodist,1265.237608966687,24.0
Air Force,1259.1295372734692,25.0
Notre Dame,1230.6313967180345,26.0
Wisconsin,1208.4859444845545,27.0
Virginia,1195.8333357080462,28.0
Mississippi,1183.7527124897856,29.0
Iowa State,1177.9244376043432,30.0
Nevada,1160.488648907669,31.0
Utah,1155.3845324552108,32.0
Penn State,1155.1449403708805,33.0
Central Florida,1145.284739517904,34.0
Marshall,1139.8983127696238,35.0
Iowa,1131.7398273932263,36.0
Brigham Young,1129.75875427876,37.0
Texas-El Paso,1129.6838245446543,38.0
Arkansas,1119.324282656253,39.0
Kentucky,1116.7091153646322,40.0
Appalachian State,1108.344469663707,41.0
Arizona State,1095.26609397934,42.0
Alabama-Birmingham,1094.0115354626266,43.0
Clemson,1087.532236136602,44.0
Kansas State,1077.1591114795679,45.0
Purdue,1074.2877592398233,46.0
Oregon State,1062.301110636516,47.0
Mississippi State,1061.9299178594213,48.0
Syracuse,1034.8979513457123,49.0
Florida Atlantic,1033.8329176541072,50.0
Boise State,999.7999087965759,51.0
Western Michigan,994.9678491705228,52.0
South Alabama,994.2094191023598,53.0
East Tennessee State,968.0649686303967,54.0
West Virginia,965.1874063496957,55.0
Tennessee,961.5167251040574,56.0
Washington State,959.7185823264798,57.0
Texas,952.2896072727807,58.0
Northern Illinois,936.701292733138,59.0
UCLA,918.3222877692697,60.0
Western Kentucky,910.6686662538405,61.0
Miami (FL),909.1846213654914,62.0
Florida,901.0289391293895,63.0
Eastern Michigan,886.1942500225765,64.0
Louisiana State,875.9433023620425,65.0
Louisville,867.0276864978184,66.0
Montana,854.5209858972609,67.0
Maryland,849.0744314346516,68.0
Texas Tech,834.4115604401145,69.0
South Dakota State,834.2579955145968,70.0
Washington,818.1599322945104,71.0
Incarnate Word,800.6438283211087,72.0
North Carolina,800.2588546639096,73.0
Army,787.8421933760503,74.0
California-Davis,770.5483472991402,75.0
Holy Cross,770.1124895790914,76.0
Miami (OH),767.4426713931281,77.0
Toledo,757.721036724708,78.0
Eastern Washington,757.257525828284,79.0
Northern Arizona,743.5239436532307,80.0
Virginia Tech,732.2394533888153,81.0
Utah State,727.7497294017469,82.0
Middle Tennessee State,695.7715873548412,83.0
East Carolina,690.5621972322679,84.0
Troy,687.1055772285904,85.0
Rutgers,684.1635621100799,86.0
Southern California,675.8345153990002,87.0
Boston College,605.6729125729294,88.0
Central Michigan,595.9585160554451,89.0
Samford,525.2393305405329,90.0
Wofford,524.551844552839,91.0
Rhode Island,515.9054202378106,92.0
Prairie View A&M,507.69869291017136,93.0
Missouri,507.40083256201467,94.0
Tennessee State,507.2910584785791,95.0
Georgia State,506.8058584733842,96.0
South Carolina,506.05512996833534,97.0
Bucknell,490.55950854629754,98.0
Ball State,471.13309998583924,99.0
Memphis,470.5445611397837,100.0
Chattanooga,373.50637626709374,101.0
Alcorn State,307.5061159923211,102.0
Stephen F. Austin,281.3394088891433,103.0
Southern Illinois,277.28840257146925,104.0
Villanova,227.31921038103127,105.0
Kent State,226.97937930654354,106.0
Towson,181.6972155243974,107.0
Florida State,176.15738128327595,108.0
South Dakota,139.32903028816975,109.0
Richmond,79.76712555264324,110.0
Northern Iowa,62.20472377479967,111.0
Missouri State,57.146431014940916,112.0
Montana State,51.53563706044191,113.0
Youngstown State,39.054767080409725,114.0
Delaware,33.22818690369875,115.0
North Dakota,20.63402338114285,116.0
Austin Peay,-0.874046385230627,117.0
San Jose State,-6.467267432900111,118.0
Mercer,-17.282594396065562,119.0
Hawaii,-18.817993568417773,120.0
Duquesne,-32.444212939132385,121.0
California,-36.394938828749744,122.0
Weber State,-52.81649791468705,123.0
Charleston Southern,-69.97497760238667,124.0
Western Illinois,-87.10763484682302,125.0
Houston Baptist,-95.30902692284984,126.0
Southeast Missouri State,-108.44944042708468,127.0
Southeastern Louisiana,-120.768323251931,128.0
Stony Brook,-121.30221861848575,129.0
Jacksonville State,-149.5326130159971,130.0
Albany,-150.32873153001182,131.0
Central Arkansas,-176.27921591922657,132.0
Buffalo,-208.02158142610418,133.0
St. Francis (PA),-214.35766427408777,134.0
Georgia Tech,-214.92128858478625,135.0
North Carolina Central,-241.91802537384203,136.0
Lafayette,-242.57301225496747,137.0
Texas Christian,-255.3722857057625,138.0
Idaho State,-258.67346768770784,139.0
Sacramento State,-267.0730999771135,140.0
Colorado State,-308.31064151235506,141.0
Jackson State,-308.752973772701,142.0
North Carolina A&T,-315.2547655049291,143.0
Northwestern State,-318.3721840774359,144.0
New Hampshire,-328.211196990422,145.0
Tennessee-Martin,-338.71113739804724,146.0
Monmouth,-341.19596805689355,147.0
Citadel,-344.31379565269026,148.0
Northern Colorado,-348.86497867806014,149.0
Furman,-374.2112993889302,150.0
Kennesaw State,-379.3720901163369,151.0
Northwestern,-408.79795323866955,152.0
Yale,-425.55449836402477,153.0
Stanford,-431.04988673425714,154.0
Elon,-432.85587208394537,155.0
Arkansas-Pine Bluff,-456.00862473459216,156.0
Alabama State,-458.5995612860687,157.0
Maine,-466.32754032977556,158.0
Abilene Christian,-467.754684229844,159.0
Cal Poly,-475.6877317183866,160.0
McNeese State,-480.13999401783246,161.0
Indiana State,-480.28908755755583,162.0
Campbell,-493.8381929048345,163.0
Morgan State,-507.6132454182636,164.0
Florida A&M,-522.1080045431254,165.0
Bryant,-547.7507046995269,166.0
Howard,-568.7494865100703,167.0
Southern,-580.6866725311087,168.0
William & Mary,-586.3805934174585,169.0
Virginia Military Institute,-590.2886682028824,170.0
Eastern Kentucky,-599.4143480690169,171.0
Hampton,-606.7206685669101,172.0
Eastern Illinois,-618.5769646041738,173.0
Tennessee Tech,-629.2451799816309,174.0
Lamar,-676.7106481312061,175.0
Colgate,-690.0998115650779,176.0
Western Carolina,-713.148622339178,177.0
Charlotte,-764.4247851138801,178.0
Bethune-Cookman,-832.846706585502,179.0
Gardner-Webb,-837.6210183579667,180.0
Louisiana-Monroe,-852.0060505624523,181.0
Tulsa,-924.4964771744371,182.0
Central Connecticut State,-928.3745923835336,183.0
Illinois State,-930.1000335402073,184.0
Nicholls State,-954.7284946277825,185.0
Southern Utah,-972.8819030384227,186.0
Robert Morris,-977.7031909517152,187.0
Nebraska,-987.9044228532191,188.0
Portland State,-993.1199044207513,189.0
Wyoming,-1015.0326075767621,190.0
Norfolk State,-1052.272673886467,191.0
Texas Southern,-1221.0451382521278,192.0
Illinois,-1229.0783053506711,193.0
Bowling Green State,-1237.1682145528869,194.0
South Carolina State,-1264.8244083420934,195.0
Murray State,-1282.4040587984334,196.0
Duke,-1307.585953943299,197.0
Fordham,-1323.7570745525675,198.0
Idaho,-1503.52173556914,199.0
Indiana,-1507.4094368168633,200.0
Louisiana Tech,-1511.288692732988,201.0
South Florida,-1514.712536483455,202.0
Wagner,-1519.7398962219281,203.0
Navy,-1546.3083830148769,204.0
Old Dominion,-1571.6171475588135,205.0
New Mexico,-1579.7751736137225,206.0
North Texas,-1606.6211101208182,207.0
Colorado,-1620.5676229301712,208.0
Texas State,-1793.460036639634,209.0
Grambling State,-1819.384850256403,210.0
Georgia Southern,-1841.1785735929163,211.0
